codigo_ine,meta_ods,promedio_indice,n_indicadores,periodo_max,ods_objetivo
43004,16.6,42.35353992,1,2024,16
43004,16.7,100.0,1,2023,16
43004,17.1,55.26378325,2,2025,17
43004,17.17,0.0,1,2024,17
43004,17.2,0.2862767154,1,2023,17
43004,2.3,76.41141732275,4,2025,2
43004,2.4,5.3220568365,2,2024,2
43004,3.6,100.0,1,2023,3
43004,4.1,42.83999314,1,2023,4
43004,4.3,90.65529275,1,2023,4
43004,4.4,11.22286958615,2,2023,4
43004,4.5,95.26315789,1,2023,4
43004,4.a,100.0,1,2024,4
43004,5.1,100.0,1,2025,5
43004,5.5,100.0,1,2023,5
43004,5.c,59.431645565,2,2025,5
43004,6.1,94.07138536,1,2025,6
43004,6.4,89.76421546,1,2024,6
43004,7.1,70.920404,1,2023,7
43004,7.3,74.32521739,1,2024,7
43004,8.2,60.871817025000006,2,2025,8
43004,8.3,46.127558030333326,3,2025,8
43004,8.5,83.38541840666666,3,2025,8
43004,8.9,100.0,1,2024,8
43004,9.2,44.82118834,1,2025,9
43004,9.5,76.57358904,1,2025,9
43004,9.c,100.0,1,2024,9
43005,1.1,72.17465753,1,2023,1
43005,1.2,80.76336475666666,3,2023,1
43005,1.3,100.0,1,2024,1
43005,1.4,20.47786596,1,2024,1
43005,10.1,52.04556020333333,3,2023,10
43005,10.2,67.27130417666667,3,2025,10
43005,10.4,86.253561255,2,2023,10
43005,11.1,91.80966056,1,2025,11
43005,11.2,58.000395345,2,2023,11
43005,11.3,93.324194905,2,2024,11
43005,11.4,5.197786239,1,2025,11
43005,11.7,94.16548026,1,2024,11
43005,12.5,44.474043609999995,2,2024,12
43005,12.b,94.17647059,1,2025,12
43005,13.2,0.0,1,2022,13
43005,15.1,50.318846175000004,2,2024,15
43005,15.2,76.89284198,1,2024,15
43005,16.6,50.97986881,1,2024,16
43005,16.7,100.0,1,2023,16
43005,17.1,72.371842675,2,2025,17
43005,17.17,0.0,1,2024,17
43005,2.2,60.28125,1,2024,2
43005,2.3,63.584101278,4,2025,2
43005,2.4,16.752523265,2,2024,2
43005,3.4,59.243391564999996,2,2024,3
43005,3.6,100.0,1,2023,3
43005,3.8,86.305049735,2,2024,3
43005,3.b,20.38927143,1,2024,3
43005,4.1,38.50111473,1,2023,4
43005,4.3,86.73904614,1,2023,4
43005,4.4,13.9729559475,2,2023,4
43005,4.5,100.0,1,2023,4
43005,4.a,100.0,1,2024,4
43005,5.1,100.0,1,2025,5
43005,5.5,100.0,1,2023,5
43005,5.c,86.834469645,2,2025,5
43005,6.1,68.23956443,1,2025,6
43005,6.4,87.90586784,1,2024,6
43005,7.1,83.20006083,1,2023,7
43005,7.3,94.40347826,1,2024,7
43005,8.2,60.20367727,2,2025,8
43005,8.3,72.26049284666666,3,2025,8
43005,8.5,56.40906220666667,3,2025,8
43005,8.9,12.441615,1,2024,8
43005,9.2,100.0,1,2025,9
43005,9.5,15.52001057,2,2025,9
43005,9.c,100.0,1,2024,9
43006,1.1,69.17808219,1,2023,1
43006,1.2,20.940839195,2,2023,1
43006,1.3,100.0,1,2023,1
43006,1.4,47.4486949,1,2024,1
43006,1.5,100.0,1,2024,1
43006,10.1,46.07159460666666,3,2023,10
43006,10.2,43.28489652,3,2025,10
43006,10.4,51.388888885,2,2023,10
43006,11.1,100.0,1,2019,11
43006,11.2,55.958907395,2,2023,11
43006,11.3,95.333644425,2,2024,11
43006,11.4,31.08590981,1,2025,11
43006,11.7,8.977296933,1,2024,11
43006,12.5,50.0,2,2024,12
43006,12.b,88.05882353,1,2025,12
43006,13.2,0.0,1,2022,13
43006,15.1,13.43367082005,2,2024,15
43006,15.2,91.03971117,1,2024,15
43006,16.6,0.0,1,2024,16
43006,16.7,100.0,1,2023,16
43006,17.1,50.0,2,2025,17
43006,17.17,0.0,1,2024,17
43006,2.3,92.907480315,4,2025,2
43006,2.4,22.8584290705,2,2024,2
43006,3.6,100.0,1,2023,3
43006,4.1,43.04578974,1,2023,4
43006,4.3,73.94338891,1,2023,4
43006,4.4,9.25177919,2,2023,4
43006,4.5,92.10526316,1,2023,4
43006,4.a,100.0,1,2024,4
43006,5.1,100.0,1,2025,5
43006,5.5,100.0,1,2023,5
43006,5.c,82.55642782,2,2025,5
43006,6.4,100.0,1,2024,6
43006,7.1,78.57839845,1,2023,7
43006,7.3,88.61782609,1,2024,7
43006,8.2,48.54,1,2025,8
43006,8.3,72.16071354666667,3,2025,8
43006,8.5,72.53824817666667,3,2025,8
43006,8.9,20.95157068,1,2024,8
43006,9.2,73.3514574,1,2025,9
43006,9.5,0.0,1,2025,9
43006,9.c,68.64661538,1,2024,9
43007,1.1,73.8869863,1,2023,1
43007,1.2,79.80192859,2,2023,1
43007,1.3,100.0,1,2024,1
43007,10.1,47.733612273333335,3,2023,10
43007,10.2,82.09345392,2,2025,10
43007,10.4,86.253561255,2,2023,10
43007,11.1,92.12261241,1,2025,11
43007,11.2,53.2076559515,2,2023,11
43007,11.3,95.333644425,2,2024,11
43007,11.4,3.468825754,1,2025,11
43007,11.7,0.0,1,2024,11
43007,12.5,50.0,2,2024,12
43007,12.b,91.05882353,1,2025,12
43007,13.2,84.23574208,1,2022,13
43007,15.1,28.842179715,2,2024,15
43007,15.2,89.25206826,1,2024,15
43007,16.6,0.0,1,2024,16
43007,16.7,100.0,1,2023,16
