codigo_ine,nombre,poblacion,id_poblacion,id_especial,id_especial2,id_especial3
43001,Aiguamúrcia,987,<5.000,Alt Camp,Municipios de servicios generales,
43002,Albinyana,2718,<5.000,Baix Penedès,Municipios industriales,
43003,L'Albiol,557,<5.000,Baix Camp,Municipios de servicios generales,
43004,Alcanar,10104,5.000-20.000,Montsià,Municipios mixtos,
43005,Alcover,5362,5.000-20.000,Alt Camp,Municipios industriales,aue
43006,Aldover,901,<5.000,Baix Ebre,Municipios industriales,
43007,L'Aleixar,1009,<5.000,Baix Camp,Municipios mixtos,
43008,Alfara de Carles,355,<5.000,Baix Ebre,Municipios industriales,
43009,Alforja,2024,<5.000,Baix Camp,Municipios industriales,
43010,Alió,496,<5.000,Alt Camp,Municipios industriales,
43011,Almoster,1384,<5.000,Baix Camp,Municipios de servicios generales,aue
