indicador,clase,nombre,detalle,fuente,fuente_link,actualizacion,corte_muestra,unidad,tipo,formula,umbral_optimo,umbral_malo,ods,meta,aue1,aue2,muestra_ods,muestra_aue,le,le2
95,AUE,Entidades financieras por 10.000 habitantes,"Número de bancos, cooperativas de crédito, sucursales comunitarias de crédito, aseguradoras y establecimientos financieros de crédito del municipio por cada 1000 habitantes.",TGSS,,2016-2025,,x 1.000,QT,↑ Ascendente (más = mejor),1.35,0,,,2,2.1,,2.1.2.c,1,1.1
79,Agenda 2030 y AUE,Cociente entre la tasa de consumo de suelo y la tasa de crecimiento de la población,Ratio entre la tasa de crecimiento del suelo artificializado y la tasa de crecimiento de la población en el mismo período.,Dades del mapa urbanístic de Catalunya,https://analisi.transparenciacatalunya.cat/Urbanisme-infraestructures/Dades-del-mapa-urban-stic-de-Catalunya/epsm-zskb/about_data,2015-2024,,Índice,QT,↓ Descendente (menos = mejor),-2,19.43,11,11.3,1,1.1,11.3.1,1.1.2.1,1,1.1
90,AUE,Índice de conectividad terrestre de los ecosistemas de Cataluña,"Indicador basado en el índice de conectividad ecológica de los ecosistemas tal y como lo describe la Junta de Andalucía en el documento “Plan Director para la Mejora de la Conectividad Ecológica en Andalucía. Una Estrategia de Infraestructura Verde” (Mayo 2018). Para su cálculo se tienen en cuenta las distancias entre espacios naturales terrestres del mismo tipo (bosques, praderas, etc) y las infraestructuras artificiales que los fraccionan. Se considera que dos espacios naturales están conectados cuando se encuentran a menos de 2500 m de distancia y no están divididos por ninguna infraestructura artificial. Para el cálculo del indicador se pondera el porcentaje de conectancia de cada ecosistema con la proporción de la superficie natural total estudiada que representa dentro del municipio.","Índex de connectivitat terrestre general. Departament de Territori, Habitatge i Transició Ecològica",https://sig.gencat.cat/visors/hipermapa.html,2019,,Índice,QT,↑ Ascendente (más = mejor),14,1,,,1,1.3,,1.3.2.a,1;3;5,1.1;3.1;5.1
123,AUE,Proporción de edificios construidos a partir de 2010,Porcentaje del parque edificatorio construido desde 2010 respecto al total de edificios.,CATASTRO,https://www.catastro.hacienda.gob.es/es-ES/estadisticas.html,2025,,%,QTC,↑ Ascendente (más = mejor),4.88,0.7,,,2,2.6;4.1,,2.6.3.a;4.1.2.b,2;5,2.2;5.1
171,AUE,Tasa de paro juvenil,Porcentaje de menores de 25 años desempleados frente al total de desempleados. A partir de los datos del paro registrado por municipios desglosado por tramos de edad.,IDESCAT,https://www.idescat.cat/pub/?id=atureg&n=4300&lang=ca,2015-2024,,%,QT,↓ Descendente (menos = mejor),1,8,,,6,6.2,,6.2.3.c,2;3;4,2.1;3.2;4.2
287,Agenda 2030,Porcentaje de pacientes con reingreso a 30 días por patologías seleccionadas,"Proporción de pacientes que reingresan en un hospital del SISCAT en los 30 días posteriores al alta, para un conjunto de patologías seleccionadas: EPOC, neumonía, asma, insuficiencia cardíaca congestiva, angina de pecho, IAM, infecciones del tracto urinario, complicaciones de la diabetes mellitus y fractura de cuello de fémur.",GENCAT,https://aquas.gencat.cat/ca/fem/central-resultats/,2017-2024,,%,QT,↓ Descendente (menos = mejor),0.88,21.32,3,3.8,,,3.8.1,,,
288,Agenda 2030,Prevalencia atendida por cualquier diagnóstico de salud mental y adicciones,"Número de personas atendidas en un Centro de Salud Mental Ambulatorio (CSMA) por cualquier trastorno de salud mental o adicción, por cada 100.000 habitantes. Incluye diagnósticos de ansiedad, trastornos por estrés, ideación suicida, trastornos del estado de ánimo, adicciones y trastornos del neurodesarrollo.",GENCAT,https://aquas.gencat.cat/ca/fem/central-resultats/,2017-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,360.61,3,3.4,,,3.4.7,,,
289,Agenda 2030,Prevalencia de obesidad,Porcentaje de la población con un diagnóstico de obesidad (IMC ≥ 30) registrado por un profesional sanitario en la historia clínica del sistema público de salud.,GENCAT,https://aquas.gencat.cat/ca/fem/central-resultats/,2017-2024,,%,QT,↓ Descendente (menos = mejor),1.57,22.88,2,2.2,,,2.2.1,,,
290,Agenda 2030,Tasa de hospitalizaciones potencialmente evitables,"Número de altas de hospitalización convencional con diagnóstico principal clasificado como potencialmente evitable para la población de 19 años o más, por 100.000 habitantes. Patologías: complicaciones de la diabetes mellitus, insuficiencia cardíaca congestiva, EPOC, asma, angina de pecho, infecciones del tracto urinario, neumonía bacteriana, deshidratación e hipertensión.",GENCAT,https://aquas.gencat.cat/ca/fem/central-resultats/,2017-2024,,x100.000 hab,QT,↓ Descendente (menos = mejor),403,1651.57,3,3.4,,,3.4.8,,,
291,Agenda 2030,Accesibilidad a 10 días,Porcentaje de personas que obtienen visita con su profesional de referencia de atención primaria y comunitaria (médico de familia o enfermera) en un plazo máximo de 10 días desde la solicitud.,GENCAT,https://aquas.gencat.cat/ca/fem/central-resultats/,2022-2024,,%,QT,↑ Ascendente (más = mejor),99.77,24.72,3,3.8,,,3.8.2,,,
292,Agenda 2030,Tasa de cobertura de vacunación preventiva,"Indicador compuesto que promedia dos coberturas vacunales: el porcentaje de personas de 60 años o más vacunadas contra la gripe estacional, y el porcentaje de infantes de 5 años que han recibido dos dosis de la vacuna triple vírica (sarampión, paperas y rubeola).",GENCAT,https://aquas.gencat.cat/ca/fem/central-resultats/,2017-2024,,%,QT,↑ Ascendente (más = mejor),82.715,39.63,3,3.b,,,3.b.1,,,
