codigo_ine,objetivo_aue,promedio_indice,n_indicadores,periodo_max
43026,1,35.63018132875,8,2025
43026,2,72.10020426375,8,2025
43026,3,68.99429121444444,9,2025
43026,4,67.34177087249999,12,2025
43026,5,50.93758836371428,7,2025
43026,6,43.383846155,2,2024
43027,1,37.93472851716667,6,2025
43027,2,76.22289544833335,6,2025
43027,3,74.506027605375,8,2025
43027,4,79.11863230416667,12,2025
43027,5,65.11256826428571,7,2025
43027,6,100.0,1,2024
43028,1,34.41905763425,8,2025
43028,2,64.74622737,8,2025
43028,3,56.57982991111111,9,2025
43028,4,60.485647633333336,12,2025
43028,5,49.15343609285714,7,2025
43028,6,77.846527935,2,2024
43029,1,39.1105584775,8,2025
43029,2,84.50292588500001,6,2025
43029,3,68.97552276,9,2025
43029,4,72.31666813,12,2025
43029,5,54.46010419571429,7,2025
43029,6,50.0,2,2024
43030,1,50.79037708875,8,2025
43030,2,59.4025001775,8,2025
43030,3,53.98305288333333,9,2025
43030,4,58.00594860500001,12,2025
43030,5,69.17230693857142,7,2025
43030,6,55.168771875,2,2024
43031,1,37.49108921161538,13,2026
43031,2,75.0964069,8,2025
43031,3,55.496889753699996,10,2025
43031,4,65.50459436669232,13,2025
43031,5,46.67838417777778,9,2025
43031,6,45.313530423,2,2024
43032,1,55.10835240875,8,2025
43032,2,76.01331006875,8,2025
43032,3,75.33575198444444,9,2025
43032,4,85.92337185000001,12,2025
43032,5,71.77486807142857,7,2025
43032,6,50.0,2,2024
43033,1,42.98381877222222,9,2025
43033,2,76.45091930625,8,2025
43033,3,59.98858257666667,9,2025
43033,4,78.49725834153847,13,2025
43033,5,65.715296047,7,2025
43033,6,42.78269231,2,2024
43034,1,35.5024818061,8,2025
43034,2,70.73162053375,8,2025
43034,3,52.63271702442222,9,2025
43034,4,60.21379465008334,12,2025
43034,5,47.92027685,7,2025
43034,6,50.0,2,2024
43035,1,58.51220823125,8,2025
43035,2,70.62672702833333,6,2025
43035,3,71.86744764666668,9,2025
43035,4,74.47835781583333,12,2025
43035,5,64.01841413142857,7,2025
43035,6,50.0,2,2024
43036,1,40.190641496225,8,2025
43036,2,68.90592336125,8,2025
43036,3,57.09048016331111,9,2025
43036,4,68.8565145175,12,2025
43036,5,55.99196486142858,7,2025
43036,6,60.00859534,2,2024
43037,1,32.47673164722222,9,2025
43037,2,70.50100533125,8,2025
43037,3,57.110146228888894,9,2025
43037,4,63.18656274576923,13,2025
43037,5,59.58757500142857,7,2025
43037,6,77.5927392,2,2024
43038,1,23.846597730038464,13,2026
43038,2,73.4320695575,8,2025
43038,3,54.47182067360001,10,2025
43038,4,62.30948300061539,13,2025
43038,5,43.54372274955555,9,2025
43038,6,80.33600995,2,2024
43039,1,55.4209526,8,2025
43039,2,68.81461751166667,6,2025
43039,3,82.0141043911111,9,2025
43039,4,69.16316506416666,12,2025
43039,5,61.80308487714286,7,2025
43039,6,38.23530769,2,2024
43040,1,61.0704913325,8,2025
43040,2,85.206936965,6,2025
43040,3,76.30323233,9,2025
43040,4,82.70929608333334,12,2025
43040,5,76.24848483714287,7,2025
43040,6,50.0,2,2024
43041,1,51.793232035857145,7,2025
43041,2,55.375193489999994,6,2025
43041,3,62.07740979566667,9,2025
43041,4,60.83948055545454,11,2025
43041,5,53.248289436142855,7,2025
43041,6,0.0,1,2024
43042,1,29.974459625333335,12,2026
43042,2,86.63023153125,8,2025
43042,3,56.3893673755,10,2025
43042,4,83.00761319375,12,2025
43042,5,78.18780050888888,9,2025
43042,6,59.816925425,2,2024
43043,1,35.349913472666664,12,2026
43043,2,88.14200179375,8,2025
43043,3,59.819839411500006,10,2025
43043,4,70.2892416875,12,2025
43043,5,58.32355146666666,9,2025
43043,6,74.618977605,2,2024
43044,1,54.607600563333335,9,2025
43044,2,65.0117697475,8,2025
43044,3,60.93962238666667,9,2025
43044,4,64.91393615923076,13,2025
43044,5,75.9227948857143,7,2025
43044,6,65.73738973,2,2024
43045,1,57.60445544857142,7,2025
43045,2,83.19654492,6,2025
43045,3,89.56779526111112,9,2025
43045,4,80.390116385,12,2025
43045,5,73.74581580571429,7,2025
43045,6,36.90230769,2,2024
43046,1,38.930500691,10,2025
43046,2,60.888592218666666,6,2025
43046,3,73.63115706555556,9,2025
43046,4,61.05006516928571,14,2025
43046,5,39.955922614777776,9,2025
43046,6,50.0,2,2024
43047,1,33.07346007430769,13,2026
43047,2,42.2895466525,8,2025
43047,3,35.7754800447,10,2025
43047,4,45.333753383923074,13,2025
43047,5,44.84706349777778,9,2025
43047,6,65.716353765,2,2024
43048,1,35.30442805,7,2025
43048,2,71.46020082125,8,2025
43048,3,64.62965624333333,9,2025
43048,4,71.9752665575,12,2025
43048,5,61.04991404414285,7,2025
43048,6,50.0,2,2024
43049,1,39.285422785,8,2025
43049,2,81.99232345,8,2025
43049,3,73.60224150444444,9,2025
43049,4,74.35106269166667,12,2025
43049,5,63.849721777142854,7,2025
43049,6,73.06028048,2,2024
43050,1,32.6695508752654,8,2025
43050,2,62.20345880875,8,2025
43050,3,57.1005717691248,9,2025
43050,4,63.34472770916667,12,2025
43050,5,38.676520672857144,7,2025
43050,6,89.586858175,2,2024
43051,1,29.11789675125,8,2025
43051,2,63.15753346375,8,2025
43051,3,57.129357546666675,9,2025
