indicador,nombre,unidad,municipios,conteo,minimo,maximo,desv_tipica,percentil25,percentil75,percentil10,percentil90,origen,umbral_optimo,umbral_malo
295,Instalaciones sanitarias por 10.000 habitantes,x10.000 hab,31,31,0.00,51.55,12.98,1.80,8.98,1.57,25.97,Mínimo Tarragona; Percentil 95 Tarragona,76.25,0
296,Instalaciones deportivas por 10.000 habitantes,x10.000 hab,31,31,6.43,77.92,17.51,12.06,30.41,10.38,51.55,Mínimo Tarragona; Percentil 90 Tarragona,213,0
297,Puntos verdes por 10.000 habitantes,x10.000 hab,31,31,0.00,5.01,1.22,0.00,1.56,0.00,2.62,Mínimo Tarragona; Percentil 95 Tarragona,13,0
53,Porcentaje de suelo artificial,%,185,1850,0.10,68.14,11.11,0.56,5.62,0.31,17.07,REDS,1.44,86.52
285,Tasa de criminalidad,x1.000 hab,11,82,32.48,123.67,17.13,45.51,61.52,40.62,70.68,REDS,0,82.37
286,Tasa de homicidios y asesinatos,x100.000 hab,11,82,0.00,9.93,1.89,0.00,2.12,0.00,3.13,REDS,0,82.37
284,Tráfico de drogas,x100.000 hab,11,82,8.67,152.83,27.03,36.20,59.78,20.95,79.56,REDS,0,2.6
204,Solidez y autonomía presupuestaria de la institución municipal,%,182,1706,7.14,91.54,16.43,39.84,64.60,30.27,73.35,REDS,85.18,40.97
70,Participación en las elecciones municipales,%,185,185,79.65,100.00,2.81,95.89,98.60,93.89,99.14,REDS,75.59,54.29
73,Deuda viva por habitante,€,185,1849,0.00,2477.61,413.64,0.00,419.98,0.00,805.63,Óptimo teórico; Percentil 90 Catalunya,0,587.9589
74,Ingresos por el IAE y el IBI,€,185,2034,72.09,8123.41,685.40,251.03,474.21,184.60,729.95,Media Catalunya; Percentil 10 Catalunya,475.40,239.32752
76,Número de entidades ONGD por habitante,Nº,185,185,0.00,11.76,1.44,0.00,0.00,0.00,0.00,CEST,0.1,0
75,Presupuesto destinado a ayuda oficial al desarrollo,€/hab,16,63,0.10,4.56,1.09,0.15,0.53,0.11,1.02,REDS,35.56,0
55,Equipamientos culturales por población,x100.000 hab,172,172,1.93,324.68,55.51,12.02,51.65,6.83,90.81,Mínimo Tarragona; Máximo Tarragona,90.91,6.83
56,Superficie de zonas verdes por habitante (m²/habitante),m²/hab,185,1850,0.54,552.83,62.13,13.42,47.29,6.68,83.84,Percentil 75 Tarragona; Mínimo Tarragona,47.29,0.54
65,Porcentaje de superficie forestal,%,185,185,4.60,95.30,25.95,25.40,70.20,12.84,84.30,REDS,82.67,2.47
66,Superficie municipal con figura de protección y órgano de gestión de los espacios abiertos,%,185,185,0.00,95.80,28.63,0.00,45.63,0.00,73.62,REDS,80.38,0
67,Superficie del suelo no urbanizable,%,185,1850,23.21,99.74,16.45,84.10,98.01,62.96,99.11,Percentil 10 Tarragona; Percentil 90 Tarragona,99.11,62.96
95,Entidades bancarias por 10.000 habitantes,x 1.000,185,1850,0.00,43.67,1.51,0.00,0.00,0.00,1.32,Percentil 90 Tarragona; Mínimo Tarragona,1.32,0
79,Cociente entre la tasa de consumo de suelo y la tasa de crecimiento de la población,Índice,184,1840,-2.00,19.43,0.52,0.00,0.00,0.00,0.00,REDS,-2,19.43
90,Índice de conectividad terrestre de los ecosistemas de Cataluña,Índice,31,31,2.55,6.88,1.25,3.36,5.27,3.02,6.32,CEST,14,1
123,Proporción de edificios construidos a partir de 2010,%,185,185,0.00,15.51,1.95,1.52,3.37,0.70,4.88,Mínimo Tarragona Winsorizado 1,7.1,0
171,Tasa de paro juvenil,%,185,2025,0.00,100.00,4.13,1.74,5.26,0.00,7.30,Percentil 25 Tarragona; Percentil 90 Tarragona,0.97,7.92
287,Porcentaje de pacientes con reingreso a 30 días por patologías seleccionadas,%,34,294,0.88,21.32,2.50,5.00,7.43,3.85,9.10,Mínimo Tarragona; Máximo Tarragona,0.88,21.32
288,Prevalencia atendida por cualquier diagnóstico de salud mental y adicciones,personas atendidas/100.000 hab.,34,295,0.00,360.61,89.05,148.17,249.32,0.00,284.60,Mínimo Tarragona; Máximo Tarragona,0.00,360.61
289,Prevalencia de obesidad,%,34,295,1.57,22.88,4.02,13.42,16.96,9.02,18.47,ESDR 2026,3.00,35.00
290,Tasa de hospitalizaciones potencialmente evitables,hospitalizaciones evitables/100.000 hab.,34,294,403.00,1651.57,242.58,690.59,993.50,600.44,1201.64,Mínimo Tarragona; Máximo Tarragona,403.00,1651.57
291,Accesibilidad a 10 días,%,34,107,24.72,99.77,12.34,76.77,92.40,66.20,96.16,Mínimo Tarragona; Máximo Tarragona,99.77,24.72
292,Tasa de cobertura de vacunación preventiva,%,34,271,39.63,82.72,7.12,66.25,73.68,61.46,76.08,CEST; Percentil 10 Tarragona,100.00,61.46
