codigo_ine,ods_objetivo,promedio_metas,n_metas
43022,12,94.5912364175,2
43022,13,56.62316857,1
43022,15,65.12156602,2
43022,16,52.182085501,2
43022,17,28.16730302,2
43022,2,50.3577385280625,2
43022,3,100.0,1
43022,4,61.18059302457,5
43022,5,67.184880565,3
43022,6,100.0,1
43022,7,73.05907032,2
43022,8,55.14079934916667,4
43022,9,79.96785729,3
43023,1,34.87728766,2
43023,10,41.398620075,2
43023,11,66.91070366625,4
43023,12,91.33864583,2
43023,13,92.98246191,1
43023,15,69.51387304425,2
43023,16,50.0,2
43023,17,25.0,2
43023,2,46.68267249083333,3
43023,3,78.86765103625,4
43023,4,100.0,1
43023,5,91.91556123999999,3
43023,6,78.74020566,1
43023,7,64.878736995,2
43023,8,62.56483759166667,4
43023,9,100.0,3
43024,1,42.1320150096,5
43024,10,53.995611507777774,3
43024,11,32.488627010200005,5
43024,12,83.0051583275,2
43024,13,62.31606765,1
43024,15,16.60014766,2
43024,16,76.72415743,2
43024,17,34.1605336425,2
43024,2,15.50502288975,2
43024,3,100.0,1
43024,4,55.46617291657001,5
43024,5,60.43321955166667,3
43024,6,97.4660144,1
43024,7,67.583601445,2
43024,8,53.256009605833334,4
43024,9,96.6264208,3
43025,1,51.768810486250004,4
43025,10,63.63498053722222,3
43025,11,66.211619202,5
43025,12,69.016822455,2
43025,13,0.0,1
43025,15,92.58811915999999,2
43025,16,50.0,2
43025,17,2.51771132,2
43025,2,34.32117771,2
43025,3,100.0,1
43025,4,64.4973804726,5
43025,5,90.010150905,3
43025,6,100.0,1
43025,7,71.62740708,2
43025,8,82.76681682166667,4
43025,9,65.926983983,3
43026,1,56.066444483750004,4
43026,10,43.60331808722222,3
43026,11,59.195690557199995,5
43026,12,71.673022765,2
43026,13,24.29533389,1
43026,15,67.765599475,2
43026,16,50.0,2
43026,17,26.7234305875,2
43026,2,35.6850936325,2
43026,3,100.0,1
43026,4,45.785774084399996,5
43026,5,93.68413553166666,3
43026,6,100.0,1
43026,7,73.11013306,2
43026,8,66.8973058,4
43026,9,31.137684931333336,3
43027,1,11.11111111,1
43027,10,29.319268665,2
43027,11,60.514915761666664,3
43027,12,82.15,2
43027,13,31.90822453,1
43027,15,69.75308074825,2
43027,16,100.0,1
43027,17,28.2092840575,2
43027,2,25.516962958249998,2
43027,3,100.0,1
43027,4,100.0,1
43027,5,80.72280027666666,3
43027,6,100.0,1
43027,7,57.61170263,2
43027,8,77.54528505583333,4
43027,9,45.49179587333333,3
43028,1,39.69511900193333,5
43028,10,64.48673932388888,3
43028,11,45.954074739999996,5
43028,12,63.27680103,2
43028,13,27.84862587,1
43028,15,51.7343366125,2
43028,16,77.846527935,2
43028,17,39.773009189999996,2
43028,2,37.35834614733333,3
43028,3,67.79981977375,4
43028,4,86.737,1
43028,5,80.86735764500001,3
43028,6,83.97136471,1
43028,7,51.94124974,2
43028,8,59.31390253666667,4
43028,9,70.58223290333333,3
43029,1,64.01783737,2
43029,10,51.921376935,2
43029,11,54.585486319,5
43029,12,83.5593729225,2
43029,13,0.0,1
43029,15,58.09786244,2
43029,16,50.0,2
43029,17,29.6340040925,2
43029,2,54.76689234875,2
43029,3,100.0,1
43029,4,100.0,1
43029,5,98.44109195333333,3
43029,6,100.0,1
43029,7,76.66284636,2
43029,8,57.179169575,4
43029,9,34.85513016666667,3
43030,1,28.2020265575,4
43030,10,42.30489228816666,3
43030,11,71.981751161,5
43030,12,58.468292085,2
43030,13,83.55800741,1
43030,15,71.399613745,2
43030,16,58.068310335,2
43030,17,7.2338034989999995,2
